  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.26
2                       8.64
4                      17.27
8                      33.87
16                     60.89
32                    124.41
64                    208.41
128                   351.74
256                   604.39
512                  1344.97
1024                 2481.25
2048                 3596.31
4096                 1534.18
8192                 2308.52
16384                3034.20
32768                4019.60
65536                4891.09
131072               5486.99
262144               5865.20
524288               5971.85
1048576              6179.80
2097152              5861.65
4194304              1555.68
