  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       0.01
2                       0.10
4                       0.43
8                       0.07
16                      1.75
32                      3.44
64                      7.13
128                     1.26
256                     5.80
512                    85.47
1024                   30.00
2048                   57.18
4096                   91.44
8192                  108.57
16384                  85.47
32768                 154.17
65536                 204.52
131072                241.74
262144                310.40
524288                616.27
1048576               617.95
2097152               850.54
4194304              1201.59
