  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.42
1                       0.47
2                       1.21
4                       1.12
8                       1.78
16                      3.23
32                      1.13
64                      2.69
128                     2.27
256                     2.10
512                     4.13
1024                    3.72
2048                    6.73
4096                   16.59
8192                   19.85
16384                  27.14
32768                  36.23
65536                  53.72
131072                100.28
262144                454.48
524288                477.64
1048576              1309.57
2097152             10481.40
4194304             12855.16
