  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                      32.14
1                      26.66
2                      38.66
4                      37.52
8                      24.05
16                     28.51
32                     29.92
64                     42.79
128                    49.92
256                    40.62
512                    70.09
1024                   75.30
2048                  132.97
4096                  171.29
8192                  164.68
16384                  81.33
32768                 120.28
65536                 172.93
131072                299.36
262144                556.69
524288               1080.43
1048576              2065.63
2097152              3859.86
4194304              6784.98
