  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.31
2                       8.10
4                       1.08
8                      34.29
16                      7.49
32                      4.27
64                    200.18
128                   290.03
256                   605.48
512                  1330.26
1024                 1633.46
2048                 2299.65
4096                  208.31
8192                  428.53
16384                 923.39
32768                1095.51
65536                 944.35
131072               1532.12
262144               2218.12
524288               1341.99
1048576              1495.31
2097152              1478.18
4194304               468.54
