  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.13
8                       0.87
16                      1.40
32                      3.30
64                      7.43
128                     8.21
256                    14.91
512                    10.74
1024                  189.84
2048                   80.60
4096                  101.41
8192                   95.37
16384                 131.86
32768                 244.61
65536                 216.78
131072                253.16
262144                308.12
524288                623.69
1048576               629.85
2097152               858.00
4194304              1223.50
