  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.30
2                       8.71
4                      16.01
8                      34.93
16                     59.73
32                    124.44
64                     23.50
128                   347.85
256                    74.85
512                    40.88
1024                 2418.12
2048                  517.65
4096                  143.38
8192                  196.09
16384                1964.13
32768                 508.08
65536                 512.77
131072                626.03
262144                786.70
524288                614.54
1048576              1263.85
2097152              1250.25
4194304               436.38
