  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                      10.37
1                      10.22
2                      10.95
4                      10.77
8                      10.27
16                      9.95
32                     11.98
64                     10.94
128                    13.81
256                    15.31
512                    18.38
1024                   20.99
2048                   30.37
4096                   38.95
8192                   56.62
16384                  69.91
32768                 104.60
65536                 170.11
131072                291.19
262144                557.92
524288               1069.89
1048576              2664.81
2097152             11330.11
4194304              6571.36
