room_size,mpi_16-slots_fillup,mpi_2-slots_fillup,mpi_4-slots_fillup,mpi_8-slots_fillup,seq
16,,0.160424,0.272753,0.325381,0.0
32,0.423057,0.179913,0.371193,0.389337,0.0
64,0.527294,0.203752,0.249713,0.619938,0.01
128,0.851688,0.26316,0.653524,0.636072,0.04
256,1.19871,0.56797,0.463621,1.23009,0.17
512,2.0532,0.867241,0.927663,2.08192,0.68
1024,6.25561,4.74246,,6.22823,2.78
2048,9.88752,8.08814,10.2977,7.30393,11.08
4096,18.9451,29.8183,19.1984,21.6766,44.34
8192,,115.335,62.5963,,177.38
16368,72.5598,451.606,,,687.52
