Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  9.59      1.61     1.61                             resid (real.c:526 @ 40411a)
  5.14      2.47     0.86                             resid (real.c:524 @ 4040c2)
  3.17      3.00     0.53                             psinv (real.c:464 @ 404e10)
  3.02      3.50     0.51                             psinv (real.c:471 @ 405069)
  2.99      4.00     0.50                             resid (real.c:529 @ 40435c)
  2.93      4.49     0.49                             resid (real.c:525 @ 40413f)
  2.81      4.96     0.47                             resid (real.c:538 @ 404354)
  2.69      5.41     0.45                             psinv (real.c:462 @ 404dbd)
  2.54      5.84     0.43                             resid (real.c:523 @ 40408f)
  2.42      6.24     0.41                             resid (real.c:537 @ 40431b)
  2.33      6.63     0.39                             resid (real.c:529 @ 404315)
  2.06      6.98     0.35                             resid (real.c:525 @ 4040ee)
  1.82      7.28     0.31                             resid (real.c:537 @ 40432e)
  1.73      7.57     0.29                             psinv (real.c:461 @ 404d90)
  1.70      7.86     0.29                             rprj3 (real.c:605 @ 4059a0)
  1.58      8.12     0.27                             resid (real.c:524 @ 4040ea)
  1.43      8.36     0.24                             resid (real.c:537 @ 404350)
  1.43      8.60     0.24                             vranlc (randdp.c:132 @ 407af4)
  1.37      8.83     0.23                             interp (real.c:686 @ 406501)
  1.28      9.05     0.22                             resid (real.c:525 @ 404109)
  1.22      9.25     0.21                             psinv (real.c:464 @ 404dde)
  1.20      9.45     0.20                             interp (real.c:680 @ 40633c)
  1.14      9.64     0.19                             vranlc (randdp.c:135 @ 407b14)
  1.11      9.83     0.19                             resid (real.c:523 @ 4040be)
  1.08     10.01     0.18                             resid (real.c:538 @ 40430f)
  1.05     10.18     0.18                             psinv (real.c:469 @ 405018)
  1.02     10.35     0.17                             rprj3 (real.c:607 @ 4059c1)
  0.99     10.52     0.17                             interp (real.c:675 @ 4062c2)
  0.99     10.68     0.17                             rprj3 (real.c:604 @ 4059ac)
  0.96     10.84     0.16                             psinv (real.c:467 @ 405083)
  0.96     11.00     0.16                             resid (real.c:526 @ 4040f9)
  0.90     11.15     0.15                             psinv (real.c:463 @ 404dff)
  0.90     11.30     0.15                             resid (real.c:530 @ 4042e8)
  0.87     11.45     0.15                             resid (real.c:529 @ 404306)
  0.84     11.59     0.14                             resid (real.c:530 @ 404300)
  0.81     11.72     0.14                             psinv (real.c:469 @ 405030)
  0.78     11.85     0.13                             psinv (real.c:467 @ 405012)
  0.78     11.98     0.13                             resid (real.c:522 @ 403ff6)
  0.75     12.11     0.13                             rprj3 (real.c:618 @ 405a88)
  0.75     12.23     0.13                             interp (real.c:670 @ 4061d1)
  0.75     12.36     0.13                             psinv (real.c:462 @ 404de5)
  0.72     12.48     0.12                             interp (real.c:692 @ 4066dd)
  0.69     12.59     0.12                             rprj3 (real.c:606 @ 4059cc)
  0.66     12.70     0.11                             vranlc (randdp.c:133 @ 407b04)
  0.66     12.81     0.11                             vranlc (randdp.c:134 @ 407b0c)
  0.66     12.92     0.11                             comm3 (real.c:869 @ 402766)
  0.66     13.03     0.11                             psinv (real.c:462 @ 404db2)
  0.66     13.14     0.11                             rprj3 (real.c:604 @ 405995)
